House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
1780,HAMMOCK BLVD,COCNUT CRK,33063,UNIT,108,,,,,610705,000006OS8Z,1798 TAMARIND LN,1780 HAMMOCK BLVD UNIT 108,
1780,HAMMOCK BLVD,COCNUT CRK,33063,UNIT,215,,,,,610705,000006OS8P,1798 TAMARIND LN,1780 HAMMOCK BLVD UNIT 215,
1800,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OTVO,1800 HAMMOCK BLVD BLDG 44,1800 HAMMOCK BLVD,
1800,HAMMOCK BLVD,COCNUT CRK,33063,,,,,BLDG,CLUBHSE,610705,00001R7F5Q,1800 HAMMOCK BLVD BLDG 44,1800 HAMMOCK BLVD     BLDG CLUBHSE,
1802,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OWMS,1800 HAMMOCK BLVD BLDG 44,1802 HAMMOCK BLVD,
1804,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OTVE,1800 HAMMOCK BLVD BLDG 44,1804 HAMMOCK BLVD,
1806,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OPZQ,1800 HAMMOCK BLVD BLDG 44,1806 HAMMOCK BLVD,
1808,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OUYV,1800 HAMMOCK BLVD BLDG 44,1808 HAMMOCK BLVD,
1810,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OW9M,1800 HAMMOCK BLVD BLDG 44,1810 HAMMOCK BLVD,
1812,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OQE4,1800 HAMMOCK BLVD BLDG 44,1812 HAMMOCK BLVD,
1814,HAMMOCK BLVD,COCNUT CRK,33063,APT,H-1,,,,,610705,000006OW5O,1800 HAMMOCK BLVD BLDG 44,1814 HAMMOCK BLVD APT H-1,
1816,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006ORNY,1800 HAMMOCK BLVD BLDG 44,1816 HAMMOCK BLVD,
1818,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OWTK,1800 HAMMOCK BLVD BLDG 44,1818 HAMMOCK BLVD,
1820,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OTIR,1800 HAMMOCK BLVD BLDG 44,1820 HAMMOCK BLVD,
1822,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OS75,1800 HAMMOCK BLVD BLDG 44,1822 HAMMOCK BLVD,Y
1824,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OTYM,1800 HAMMOCK BLVD BLDG 44,1824 HAMMOCK BLVD,
1826,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OR8K,1800 HAMMOCK BLVD BLDG 44,1826 HAMMOCK BLVD,
1828,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OT5N,1800 HAMMOCK BLVD BLDG 44,1828 HAMMOCK BLVD,
1830,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OWSV,1800 HAMMOCK BLVD BLDG 44,1830 HAMMOCK BLVD,
1832,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OS77,1800 HAMMOCK BLVD BLDG 44,1832 HAMMOCK BLVD,
1834,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OUWE,1800 HAMMOCK BLVD BLDG 44,1834 HAMMOCK BLVD,
1836,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OUII,1800 HAMMOCK BLVD BLDG 44,1836 HAMMOCK BLVD,
1838,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006ORT6,1800 HAMMOCK BLVD BLDG 44,1838 HAMMOCK BLVD,
1840,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OW8W,1800 HAMMOCK BLVD BLDG 44,1840 HAMMOCK BLVD,
1842,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OWQ4,1800 HAMMOCK BLVD BLDG 44,1842 HAMMOCK BLVD,
1844,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OS6C,1800 HAMMOCK BLVD BLDG 44,1844 HAMMOCK BLVD,
1846,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OR61,1800 HAMMOCK BLVD BLDG 44,1846 HAMMOCK BLVD,
1848,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OS23,1800 HAMMOCK BLVD BLDG 44,1848 HAMMOCK BLVD,
1850,HAMMOCK BLVD,COCNUT CRK,33063,APT,B4,,,,,610705,000006ORBP,1800 HAMMOCK BLVD BLDG 44,1850 HAMMOCK BLVD APT B4,
1850,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OQEO,1800 HAMMOCK BLVD BLDG 44,1850 HAMMOCK BLVD,
1852,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OQBX,1800 HAMMOCK BLVD BLDG 44,1852 HAMMOCK BLVD,
1854,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OW9X,1800 HAMMOCK BLVD BLDG 44,1854 HAMMOCK BLVD,
1856,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OTKY,1800 HAMMOCK BLVD BLDG 44,1856 HAMMOCK BLVD,
1858,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OW6G,1800 HAMMOCK BLVD BLDG 44,1858 HAMMOCK BLVD,
1860,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OT5C,1800 HAMMOCK BLVD BLDG 44,1860 HAMMOCK BLVD,
1862,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OU2W,1800 HAMMOCK BLVD BLDG 44,1862 HAMMOCK BLVD,
