House Number;Street Name;Community;Zip Code;Unit Type;Unit;Floor Type;Floor;Building Type;Building;DA/PSA;OVALS Address ID;Primary_Term_Address;FAC_ADDR;Working TN Status
7400;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OVXF;R 7420 NW 21ST CT;7400 NW 21ST CT;
7401;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P66R;F 7421 NW 21ST CT;7401 NW 21ST CT;
7420;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OQR1;R 7420 NW 21ST CT;7420 NW 21ST CT;
7421;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OZ6O;F 7421 NW 21ST CT;7421 NW 21ST CT;
7440;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OYGO;R 7391 NW 21ST ST;7440 NW 21ST CT;
7441;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OUDU;F 7441.2 NW 21ST CT;7441 NW 21ST CT;
7460;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P0HO;R 7391 NW 21ST ST;7460 NW 21ST CT;
7461;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OZ4M;F 7441 NW 21ST CT;7461 NW 21ST CT;
7480;NW 21ST CT;MRGT;33063;;;;;;;121404;000006PCR2;7481 NW 21 ST;7480 NW 21ST CT;
7481;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P09E;F 7481 NW 21ST CT;7481 NW 21ST CT;
7500;NW 21ST CT;MRGT;33063;;;;;;;121404;000006PAIO;7481 NW 21 ST;7500 NW 21ST CT;
7501;NW 21ST CT;MRGT;33063;;;;;;;121404;000006PDC1;F 7481 NW 21ST CT;7501 NW 21ST CT;
7520;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OZEG;R 7511 NW 21ST ST;7520 NW 21ST CT;
7521;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P8MB;F 7541 NW 21ST CT;7521 NW 21ST CT;
7540;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P9XQ;R 7511 NW 21ST ST;7540 NW 21ST CT;
7541;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P1QE;F 7541 NW 21ST CT;7541 NW 21ST CT;
7560;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OV3A;R 7580 NW 21ST CT;7560 NW 21ST CT;
7561;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P4O7;F 2140 NW 76TH AV;7561 NW 21ST CT;
7580;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OT6R;R 7580 NW 21ST CT;7580 NW 21ST CT;
7581;NW 21ST CT;MRGT;33063;;;;;;;121404;000006PFSS;F 2140 NW 76TH AV;7581 NW 21ST CT;
7676;NW 21ST CT;MRGT;33063;;;;;;;121404;000006PE0O;R 7679 NW 21ST ST;7676 NW 21ST CT;
7685;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P5R3;F 7685 NW 21ST CT;7685 NW 21ST CT;
7686;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P1AH;R 7679 NW 21ST ST;7686 NW 21ST CT;
7695;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OW45;F 7705 NW 21ST CT;7695 NW 21ST CT;
7696;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P440;R 7699 NW 21ST ST;7696 NW 21ST CT;
7705;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P4E4;F 7705 NW 21ST CT;7705 NW 21ST CT;
7706;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P2MF;R 7719 NW 21ST ST;7706 NW 21ST CT;
7715;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P8MX;F 7725 NW 21ST CT;7715 NW 21ST CT;
7716;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P31J;R 7719 NW 21ST ST;7716 NW 21ST CT;
7725;NW 21ST CT;MRGT;33063;;;;;;;121404;000006OYWQ;F 7725 NW 21ST CT;7725 NW 21ST CT;
7726;NW 21ST CT;MRGT;33063;;;;;;;121404;000006P0MC;R 7729 NW 21ST ST;7726 NW 21ST CT;
7301;NW 21ST ST;MRGT;33063;;;;;;;121404;000006P972;R 7420 NW 21ST CT;7301 NW 21ST ST;
7302;NW 21ST ST;MRGT;33063;;;;;;;121404;000006P2CX;R 7302 NW 21ST ST;7302 NW 21ST ST;
7328;NW 21ST ST;MRGT;33063;;;;;;;121404;000006OY8K;R 7302 NW 21ST ST;7328 NW 21ST ST;
7331;NW 21ST ST;MRGT;33063;;;;;;;121404;000006OS07;R 7420 NW 21ST CT;7331 NW 21ST ST;
7354;NW 21ST ST;MRGT;33063;;;;;;;121404;000006P3ES;R 7354 NW 21ST ST;7354 NW 21ST ST;
7361;NW 21ST ST;MRGT;33063;;;;;;;121404;000006OTUZ;R 7391 NW 21ST ST;7361 NW 21ST ST;
7380;NW 21ST ST;MRGT;33063;;;;;;;121404;000006P037;R 7354 NW 21ST ST;7380 NW 21ST ST;
7391;NW 21ST ST;MRGT;33063;;;;;;;121404;000006OZUN;R 7391 NW 21ST ST;7391 NW 21ST ST;
7406;NW 21ST ST;MRGT;33063;;;;;;;121404;000006OXL8;R 7406 NW 21ST ST;7406 NW 21ST ST;
