design_job_name,design_market,design_contractor,design_status,design_psa_cd,design_ecd,design_aop_clli,design_cm_project_tracking_number,design_associated_project,design_proj_num,design_no_build,design_no_build_reason,demand_id,demand_business,demand_residential,demand_provisioned,demand_fst,demand_point_lat,demand_point_lon,fst_id,fst_name,fst_build_status,fst_asset_id,dist_cluster_id,dist_cluster_type,dist_cluster_pfp_name,dist_cluster_olt_name,drop_cluster_id,drop_cluster_term_name,mdu_boundary_id,mdu_boundary_name,mdu_boundary_coil_ids,mdu_boundary_coil_notes,mdu_boundary_coil_structures,id,cbg,blockcode,ll_uuid,a_lon,a_lat,bain_use,private_access_b,commercial_b,building_b,build_cluster_b,clstrid,derived,cost_customer_location,cable_ft_hh,irr_cbg,irr_cb,f1_penetrationwithindex,lumi_archetype_cbg,lumi_archetype_cb,pct_fttp,mdu_subsid,old_build_,market,distance_to_build_sfu,att_segment,build_map_status,a_geoid,a_address,a_scity,a_county,a_state2,a_szip,a_szip5,a_carte,a_crtype,a_saddno,a_saddpref,a_saddstr,a_saddstsuf,a_saddsttyp,a_default_match,a_geocodetype,glid,gis_streetnr,gis_streetprefix,gis_streetname,gis_streettype,gis_streetsuffix,gis_postcode,gis_city,gis_stateorprovince,gis_country,gis_latitude,gis_longitude,gis_matchcode,gis_locationcode,gis_streetdirection,deleted,iqg_updated_fields,unit,sn_asset_id,no_build_reason,fiber_jack,jack_loc,inv_status,build_status,gc_classification,gis_unit_type,gis_unit_value,gis_postalcodeplus4
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,,,,,,,,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,,,,,,13206350,270370610091,270370610091022,95e4bba6-088f-4131-9c4b-e7457e30a97e,-93.10151672363281,44.7465705871582,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,,,,Dakota,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,SFU,,,
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,,,,,,,,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,27111,AREA CURRENTLY SERVED,,,,29619462,270370610091,270370610091000,164677fa-33ed-4990-8522-3ae0e22f0a64,-93.09427642822266,44.74909973144531,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,,,,Dakota,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,SFU,,,
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,30265407,0,1,,No,44.7511405945,-93.0915908813,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,27111,AREA CURRENTLY SERVED,,,,30265407,270370610091,270370610091000,31c08e4b-468d-4c12-82f2-5f78ba3afb32,-93.09159088134766,44.75114059448242,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,13680 Carrakay Way,Rosemount,DAKOTA,MN,55068-4870,55068,R010,R,13680,,Carrakay,,Way,0,PC,,,,,,,,,,,,,,,,,,,,,,,,,SFU,,,
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,30732220,0,1,,No,44.750541687,-93.0908584595,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,27111,AREA CURRENTLY SERVED,,,,30732220,270370610091,270370610091000,dd41f85a-4c17-4351-8f97-2cb86f41a349,-93.09085845947266,44.75054168701172,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,13845 Kaylemore Trl,Rosemount,DAKOTA,MN,55068-4866,55068,R010,R,13845,,Kaylemore,,Trl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,,SFU,,,
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,30451892,0,1,,No,44.7506904602,-93.0906295776,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,27111,AREA CURRENTLY SERVED,,,,30451892,270370610091,270370610091000,559adc2e-6cf3-40b8-94ea-b6590aaa624d,-93.09062957763672,44.75069046020508,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,13857 Kaylemore Trl,Rosemount,DAKOTA,MN,55068-4866,55068,R010,R,13857,,Kaylemore,,Trl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,,SFU,,,
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,30593392,0,1,,No,44.7515411377,-93.0908813477,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,27111,AREA CURRENTLY SERVED,,,,30593392,270370610091,270370610091000,99e581d2-9391-4ae8-ad2c-3dc7f1caea99,-93.09088134765625,44.75154113769531,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,13848 Kaylemore Trl,Rosemount,DAKOTA,MN,55068-4866,55068,R010,R,13848,,Kaylemore,,Trl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,,SFU,,,
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,30727797,0,1,,No,44.7503700256,-93.0921630859,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,27111,AREA CURRENTLY SERVED,,,,30727797,270370610091,270370610091000,db953b85-a0d2-4b1e-8136-2c12cb0ff43b,-93.0921630859375,44.750370025634766,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,13772 Kaylemore Trl,Rosemount,DAKOTA,MN,55068-4865,55068,R010,R,13772,,Kaylemore,,Trl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,,SFU,,,
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,30714677,0,1,,No,44.7518196106,-93.0908584595,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,27111,AREA CURRENTLY SERVED,,,,30714677,270370610091,270370610091000,d4cb912f-0eae-4840-8364-2b2eb78c2a6b,-93.09085845947266,44.7518196105957,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,13860 Kaylemore Trl,Rosemount,DAKOTA,MN,55068-4866,55068,R010,R,13860,,Kaylemore,,Trl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,,SFU,,,
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,30637507,0,1,,No,44.7501716614,-93.0916290283,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,27111,AREA CURRENTLY SERVED,,,,30637507,270370610091,270370610091000,af94e9d9-47d4-452c-8b8d-629990f6e0e2,-93.09162902832031,44.75017166137695,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,13813 Kaylemore Trl,Rosemount,DAKOTA,MN,55068-4866,55068,R010,R,13813,,Kaylemore,,Trl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,,SFU,,,
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,30725185,0,1,,No,44.7509689331,-93.0910568237,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,27111,AREA CURRENTLY SERVED,,,,30725185,270370610091,270370610091000,da180e10-a538-4f2a-ab26-d17d902f5ad6,-93.09105682373047,44.75096893310547,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,13820 Kaylemore Trl,Rosemount,DAKOTA,MN,55068-4866,55068,R010,R,13820,,Kaylemore,,Trl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,,SFU,,,
PSA-1517PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1517PA,2025-06-30,BRVLMNYF,ATT-9509,,MIN001.G0000620,False,,30604803,0,1,,No,44.7526283264,-93.0929336548,,,,,5626,64,S 13571 ATHENA WAY PFP,BRVLMNYF,,,27111,AREA CURRENTLY SERVED,,,,30604803,270370610091,270370610091000,a0282842-2910-4f45-97c0-265cee0fd315,-93.09293365478516,44.752628326416016,Res-SFU,0,0,0,1,,CBG Clustered,304,15,0.3543489873409271,0.0,48.00408172607422,2.6187150478363037,2,0.049233999103307724,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,1300 136th St W,Rosemount,DAKOTA,MN,55068-4868,55068,R010,R,1300,,136th,W,St,0,PC,,,,,,,,,,,,,,,,,,,,,,,,,SFU,,,
