design_job_name,design_market,design_contractor,design_status,design_psa_cd,design_ecd,design_aop_clli,design_cm_project_tracking_number,design_associated_project,design_proj_num,design_no_build,design_no_build_reason,demand_id,demand_business,demand_residential,demand_provisioned,demand_fst,fst_id,fst_name,fst_build_status,fst_asset_id,dist_cluster_id,dist_cluster_type,dist_cluster_pfp_name,dist_cluster_olt_name,drop_cluster_id,drop_cluster_term_name,mdu_boundary_id,mdu_boundary_name,mdu_boundary_coil_ids,mdu_boundary_coil_notes,mdu_boundary_coil_structures,id,cbg,blockcode,ll_uuid,a_lon,a_lat,bain_use,private_access_b,commercial_b,building_b,build_cluster_b,clstrid,derived,cost_customer_location,cable_ft_hh,irr_cbg,irr_cb,f1_penetrationwithindex,lumi_archetype_cbg,lumi_archetype_cb,pct_fttp,mdu_subsid,old_build_,market,distance_to_build_sfu,att_segment,build_map_status,a_geoid,a_address,a_scity,a_county,a_state2,a_szip,a_szip5,a_carte,a_crtype,a_saddno,a_saddpref,a_saddstr,a_saddstsuf,a_saddsttyp,a_default_match,a_geocodetype,glid,gis_streetnr,gis_streetprefix,gis_streetname,gis_streettype,gis_streetsuffix,gis_postcode,gis_city,gis_stateorprovince,gis_country,gis_latitude,gis_longitude,gis_matchcode,gis_locationcode,gis_streetdirection,deleted,iqg_updated_fields,unit,sn_asset_id,no_build_reason,fiber_jack,jack_loc,inv_status,build_status,gc_classification,gis_unit_type,gis_unit_value,gis_postalcodeplus4
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,IQGEO_50448,1,0,FALSE,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21499,"100' LOOP PON, 13-36 RESERVED FOR JOPLIN AVE UNITS",206441,"BCL-MDU PON18950IA, 13-36","100' LOOP PON, 13-36 RESERVED FOR JOPLIN AVE UNITS",IQGEO_50448,,,,,,,,,,,,,,,,,,,,,,,,,,,,18588 JOPLIN AVE,Lakeville,Dakota,MN,55044-4218,55044,,,,,,,,,,,,,,,,,,,,,,,,,,gc_classification,,,,,,,Planned,BCL,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,IQGEO_50447,1,0,FALSE,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21499,"100' LOOP PON, 13-36 RESERVED FOR JOPLIN AVE UNITS",206441,"BCL-MDU PON18950IA, 13-36","100' LOOP PON, 13-36 RESERVED FOR JOPLIN AVE UNITS",IQGEO_50447,,,,,,,,,,,,,,,,,,,,,,,,,,,,18596 JOPLIN AVE,Lakeville,Dakota,MN,55044-4218,55044,,,,,,,,,,,,,,,,,,,,,,,,,,gc_classification,,,,,,,Planned,BCL,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149898,0,1,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21497,"100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",206440,"PON18950IA, 37-84","100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",13149898,2.70371E+11,2.70371E+14,55d3b79e-f762-49c8-959f-2252ace69a00,-93.27918243,44.67945862,Res-SFU,0,0,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,18646 Joplin Ave,Lakeville,DAKOTA,MN,55044-4220,55044,R009,R,,,,,,0,PC,,,,,,,,,,,,,,,,,a_address;a_saddno;a_saddstr;a_saddsttyp;a_szip;build_status,,,,,,,Planned,SFU,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,IQGEO_50491,1,0,FALSE,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21469,"100' LOOP PON, 253-264 RESERVED FOR 185TH ST W UNITS",206433,"BCL ONLY PON18950IA, 253-264","100' LOOP PON, 253-264 RESERVED FOR 185TH ST W UNITS",IQGEO_50491,,,,,,,,,,,,,,,,,,,,,,,,,,,,10348 185TH ST W,Lakeville,Dakota,MN,55044-9629,55044,,,,,,,,,,,,,,,,,,,,,,,,,,gc_classification,,,,,,,Planned,BCL,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,IQGEO_50446,1,0,FALSE,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21500,"100' LOOP PON, 1-12 RESERVED FOR KACHINA CT UNITS",206442,"BCL ONLY PON18950IA, 1-12","100' LOOP PON, 1-12 RESERVED FOR KACHINA CT UNITS",IQGEO_50446,,,,,,,,,,,,,,,,,,,,,,,,,,,,18460 Kachina Ct,Lakeville,Dakota,MN,55044-4886,55044,,,,,,,,,,,,,,,,,,,,,,,,,,a_szip;a_szip5;gc_classification,,,,,,,Planned,BCL,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13150538,1,0,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21445,"100' LOOP PON, 493-504 RESERVED FOR 18610 IPAVA WAY",206408,"PON18950IA, 493-504","100' LOOP PON, 493-504 RESERVED FOR 18610 IPAVA WAY",13150538,2.70371E+11,2.70371E+14,b86298ee-3ede-4f1f-851c-e1c25de9c54b,-93.25505066,44.67958069,Other,0,0,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,4,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",661.8140869,C,Final,27037,18610 Ipava Ave,Lakeville,DAKOTA,MN,55044-7556,55044,R014,R,18610,,Ipava,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149913,0,1,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21495,F 10542 188TH ST W HH,206439,"PON18950IA, 97-108",F 10542 188TH ST W HH,13149913,2.70371E+11,2.70371E+14,8c2debb0-b0f5-4a9a-baf9-17bb89d19630,-93.27852631,44.67837143,Res-SFU,0,0,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,10531 188th St W,Lakeville,DAKOTA,MN,55044-9416,55044,R009,R,10531,,188th,W,St,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149925,0,1,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21497,"100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",206440,"PON18950IA, 37-84","100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",13149925,2.70371E+11,2.70371E+14,bbc647bc-30b8-4362-9fa4-26243e32c558,-93.27918243,44.67945862,Res-SFU,0,0,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,18644 Joplin Ave,Lakeville,DAKOTA,MN,55044-4219,55044,R009,R,18644,,Joplin,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149905,0,1,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21497,"100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",206440,"PON18950IA, 37-84","100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",13149905,2.70371E+11,2.70371E+14,6a3e8859-76af-4719-9beb-7be92a340b01,-93.27918243,44.67945862,Res-SFU,0,0,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,18638 Jonesboro Ct,Lakeville,DAKOTA,MN,55044-6502,55044,R009,R,18638,,Jonesboro,,Ct,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149924,1,0,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21499,"100' LOOP PON, 13-36 RESERVED FOR JOPLIN AVE UNITS",206441,"BCL-MDU PON18950IA, 13-36","100' LOOP PON, 13-36 RESERVED FOR JOPLIN AVE UNITS",13149924,2.70371E+11,2.70371E+14,b28d4502-1625-4426-8428-9475d1196318,-93.27900696,44.68072891,"Shopping, business, or trade",0,1,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",275.4117126,D,Final,27037,18586 Joplin Ave,Lakeville,DAKOTA,MN,55044-4218,55044,R009,R,18586,,Joplin,,Ave,0,GCRT,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,BCL,,,
