design_job_name,design_market,design_contractor,design_status,design_psa_cd,design_ecd,design_aop_clli,design_cm_project_tracking_number,design_associated_project,design_proj_num,design_no_build,design_no_build_reason,demand_id,demand_business,demand_residential,demand_provisioned,demand_fst,demand_point_lat,demand_point_lon,fst_id,fst_name,fst_build_status,fst_asset_id,dist_cluster_id,dist_cluster_type,dist_cluster_pfp_name,dist_cluster_olt_name,drop_cluster_id,drop_cluster_term_name,mdu_boundary_id,mdu_boundary_name,mdu_boundary_coil_ids,mdu_boundary_coil_notes,mdu_boundary_coil_structures,id,cbg,blockcode,ll_uuid,a_lon,a_lat,bain_use,private_access_b,commercial_b,building_b,build_cluster_b,clstrid,derived,cost_customer_location,cable_ft_hh,irr_cbg,irr_cb,f1_penetrationwithindex,lumi_archetype_cbg,lumi_archetype_cb,pct_fttp,mdu_subsid,old_build_,market,distance_to_build_sfu,att_segment,build_map_status,a_geoid,a_address,a_scity,a_county,a_state2,a_szip,a_szip5,a_carte,a_crtype,a_saddno,a_saddpref,a_saddstr,a_saddstsuf,a_saddsttyp,a_default_match,a_geocodetype,glid,gis_streetnr,gis_streetprefix,gis_streetname,gis_streettype,gis_streetsuffix,gis_postcode,gis_city,gis_stateorprovince,gis_country,gis_latitude,gis_longitude,gis_matchcode,gis_locationcode,gis_streetdirection,deleted,iqg_updated_fields,unit,sn_asset_id,no_build_reason,fiber_jack,jack_loc,inv_status,build_status,gc_classification,gis_unit_type,gis_unit_value,gis_postalcodeplus4
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,10/31/2024,BRVLMNYF,ATT-9437,,MIN001.G0000558,FALSE,,13119808,0,1,,No,44.7454435,-93.27119711,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23161,"100' LOOP PON14318PAS, 61-120 RESERVED",219587,"PON14318PAS, 61-120","100' LOOP PON14318PAS, 61-120 RESERVED",13119808,2.70371E+11,2.70371E+14,2f7306e1-d2b3-4869-81d9-2e52066b0688,-93.27262115,44.74507141,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.180585995,0,45.72005844,3.741573095,5,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,14122 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5717,55337,C042,C,14122,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,10/31/2024,BRVLMNYF,ATT-9437,,MIN001.G0000558,FALSE,,13119967,0,1,,No,44.74483531,-93.27089214,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23161,"100' LOOP PON14318PAS, 61-120 RESERVED",219587,"PON14318PAS, 61-120","100' LOOP PON14318PAS, 61-120 RESERVED",13119967,2.70371E+11,2.70371E+14,dec47340-8961-4509-ad3b-f698f81c164b,-93.27262115,44.74507141,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.180585995,0,45.72005844,3.741573095,5,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,14129 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5719,55337,C042,C,14129,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,10/31/2024,BRVLMNYF,ATT-9437,,MIN001.G0000558,FALSE,,13119826,0,1,,No,44.74496104,-93.27103899,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23161,"100' LOOP PON14318PAS, 61-120 RESERVED",219587,"PON14318PAS, 61-120","100' LOOP PON14318PAS, 61-120 RESERVED",13119826,2.70371E+11,2.70371E+14,4a0d3f62-92e7-4577-be7b-01e5ad38e145,-93.27262115,44.74507141,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.180585995,0,45.72005844,3.741573095,5,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,14125 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5719,55337,C042,C,14125,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,10/31/2024,BRVLMNYF,ATT-9437,,MIN001.G0000558,FALSE,,13119828,0,1,,No,44.74561815,-93.27161264,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23161,"100' LOOP PON14318PAS, 61-120 RESERVED",219587,"PON14318PAS, 61-120","100' LOOP PON14318PAS, 61-120 RESERVED",13119828,2.70371E+11,2.70371E+14,4b71f4eb-5382-4b20-9b05-5db4188d3a61,-93.27262115,44.74507141,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.180585995,0,45.72005844,3.741573095,5,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,14144 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5717,55337,C042,C,14144,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,10/31/2024,BRVLMNYF,ATT-9437,,MIN001.G0000558,FALSE,,IQGEO_56590,1,0,FALSE,No,44.74354321,-93.27359712,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23156,"100' LOOP PON14318PAS, 1-24 RESERVED",219589,"BCL ONLY  PON14318PAS, 1-24","100' LOOP PON14318PAS, 1-24 RESERVED",IQGEO_56590,,,,,,,,,,,,,,,,,,,,,,,,,,,,14282 PLYMOUTH AVE,Burnsville,DAKOTA,MN,55337-5785,55337,,,,,,,,,,,,,,,,,,,,,,,,,,a_scity,,,,,,,Planned,BCL,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,10/31/2024,BRVLMNYF,ATT-9437,,MIN001.G0000558,FALSE,,13119837,0,1,,No,44.74429951,-93.27154391,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23162,"100' LOOP PON14318PAS, 25-60 RESERVED",219588,"PON14318PAS, 25-60","100' LOOP PON14318PAS, 25-60 RESERVED",13119837,2.70371E+11,2.70371E+14,5f97e5ed-5224-4929-849b-b82daaeb4916,-93.27262115,44.74507141,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.180585995,0,45.72005844,3.741573095,5,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,14165 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5719,55337,C042,C,14165,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,10/31/2024,BRVLMNYF,ATT-9437,,MIN001.G0000558,FALSE,,13119797,0,1,,No,44.74548099,-93.27195328,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23161,"100' LOOP PON14318PAS, 61-120 RESERVED",219587,"PON14318PAS, 61-120","100' LOOP PON14318PAS, 61-120 RESERVED",13119797,2.70371E+11,2.70371E+14,1ca32428-e3ca-496d-ab69-cba283726ee4,-93.27262115,44.74507141,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.180585995,0,45.72005844,3.741573095,5,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,14156 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5717,55337,C042,C,14156,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,10/31/2024,BRVLMNYF,ATT-9437,,MIN001.G0000558,FALSE,,13119970,0,1,,No,44.74614215,-93.27083749,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23159,"100' LOOP PON14318PAS, 169-192 RESERVED",219576,"PON14318PAS, 169-192","100' LOOP PON14318PAS, 169-192 RESERVED",13119970,2.70371E+11,2.70371E+14,e05cfe00-9fb1-4e1f-b78e-bbdfc1d1f9c3,-93.27262115,44.74507141,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.180585995,0,45.72005844,3.741573095,5,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,14074 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5711,55337,C042,C,14074,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,10/31/2024,BRVLMNYF,ATT-9437,,MIN001.G0000558,FALSE,,IQGEO_56589,1,0,FALSE,No,44.74349748,-93.27361858,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23156,"100' LOOP PON14318PAS, 1-24 RESERVED",219589,"BCL ONLY  PON14318PAS, 1-24","100' LOOP PON14318PAS, 1-24 RESERVED",IQGEO_56589,,,,,,,,,,,,,,,,,,,,,,,,,,,,14280 PLYMOUTH AVE,Burnsville,DAKOTA,MN,55337-5785,55337,,,,,,,,,,,,,,,,,,,,,,,,,,a_scity,,,,,,,Planned,BCL,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,10/31/2024,BRVLMNYF,ATT-9437,,MIN001.G0000558,FALSE,,13119788,0,1,,No,44.74489196,-93.27279617,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23162,"100' LOOP PON14318PAS, 25-60 RESERVED",219588,"PON14318PAS, 25-60","100' LOOP PON14318PAS, 25-60 RESERVED",13119788,2.70371E+11,2.70371E+14,0d75c002-2f87-4ec9-8c3c-90b05a362c26,-93.27262115,44.74507141,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.180585995,0,45.72005844,3.741573095,5,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,14208 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5785,55337,C042,C,14208,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
