design_job_name,design_market,design_contractor,design_status,design_psa_cd,design_ecd,design_aop_clli,design_cm_project_tracking_number,design_associated_project,design_proj_num,design_no_build,design_no_build_reason,demand_id,demand_business,demand_residential,demand_provisioned,demand_fst,demand_point_lat,demand_point_lon,fst_id,fst_name,fst_build_status,fst_asset_id,dist_cluster_id,dist_cluster_type,dist_cluster_pfp_name,dist_cluster_olt_name,drop_cluster_id,drop_cluster_term_name,mdu_boundary_id,mdu_boundary_name,mdu_boundary_coil_ids,mdu_boundary_coil_notes,mdu_boundary_coil_structures,id,cbg,blockcode,ll_uuid,a_lon,a_lat,bain_use,private_access_b,commercial_b,building_b,build_cluster_b,clstrid,derived,cost_customer_location,cable_ft_hh,irr_cbg,irr_cb,f1_penetrationwithindex,lumi_archetype_cbg,lumi_archetype_cb,pct_fttp,mdu_subsid,old_build_,market,distance_to_build_sfu,att_segment,build_map_status,a_geoid,a_address,a_scity,a_county,a_state2,a_szip,a_szip5,a_carte,a_crtype,a_saddno,a_saddpref,a_saddstr,a_saddstsuf,a_saddsttyp,a_default_match,a_geocodetype,glid,gis_streetnr,gis_streetprefix,gis_streetname,gis_streettype,gis_streetsuffix,gis_postcode,gis_city,gis_stateorprovince,gis_country,gis_latitude,gis_longitude,gis_matchcode,gis_locationcode,gis_streetdirection,deleted,iqg_updated_fields,unit,sn_asset_id,no_build_reason,fiber_jack,jack_loc,inv_status,build_status,gc_classification,gis_unit_type,gis_unit_value,gis_postalcodeplus4
PSA-4113PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,HLD,4113PA,2024-12-31,BRVLMNYF,ATT-9684,,MIN001.G0000667,False,,13125204,1,0,,No,44.7498703003,-93.2862472534,,,,,,,,,,,,,,,,13125204,270370607451,270370607451010,d39f9281-2e25-4a82-9d04-5ccc2cb851ea,-93.28624725341797,44.74987030029297,"Shopping, business, or trade",0,1,0,1,,CBG Clustered,1103,59,0.1787550002336502,0.0,46.29142761230469,3.0,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",950.7655029296875,B,Final,27037,13969 Aldrich Ave S,Burnsville,DAKOTA,MN,55337-6216,55337,C025,C,13969,,Aldrich,S,Ave,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,,BCL,,,
PSA-4113PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,HLD,4113PA,2024-12-31,BRVLMNYF,ATT-9684,,MIN001.G0000667,False,,13125185,1,0,,No,44.7484703064,-93.2873687744,,,,,,,,,,,,,,,,13125185,270370607451,270370607451010,d39f9281-2e25-4a82-9d04-5ccc2cb851ea,-93.28736877441406,44.748470306396484,"Shopping, business, or trade",0,1,0,1,,CBG Clustered,1103,59,0.1787550002336502,0.0,46.29142761230469,3.0,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",1476.3349609375,B,Final,27037,14059 Aldrich Ave S,Burnsville,DAKOTA,MN,55337-4439,55337,C025,C,14059,,Aldrich,S,Ave,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,,BCL,,,
PSA-4113PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,HLD,4113PA,2024-12-31,BRVLMNYF,ATT-9684,,MIN001.G0000667,False,,13125200,1,0,,No,44.7505302429,-93.2863082886,,,,,,,,,,,,,,,,13125200,270370607451,270370607451010,d39f9281-2e25-4a82-9d04-5ccc2cb851ea,-93.28630828857422,44.75053024291992,"Shopping, business, or trade",0,1,0,1,,CBG Clustered,1103,59,0.1787550002336502,0.0,46.29142761230469,3.0,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",813.3504028320312,B,Final,27037,13943 Aldrich Ave S,Burnsville,DAKOTA,MN,55337-6216,55337,C025,C,13943,,Aldrich,S,Ave,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,,BCL,,,
PSA-4113PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,HLD,4113PA,2024-12-31,BRVLMNYF,ATT-9684,,MIN001.G0000667,False,,13125186,1,0,,No,44.749130249,-93.2873535156,,,,,,,,,,,,,,,,13125186,270370607451,270370607451010,d39f9281-2e25-4a82-9d04-5ccc2cb851ea,-93.287353515625,44.74913024902344,"Shopping, business, or trade",0,1,0,1,,CBG Clustered,1103,59,0.1787550002336502,0.0,46.29142761230469,3.0,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",1239.739013671875,B,Final,27037,14023 Aldrich Ave S,Burnsville,DAKOTA,MN,55337-4439,55337,C025,C,14023,,Aldrich,S,Ave,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,,BCL,,,
PSA-4113PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,HLD,4113PA,2024-12-31,BRVLMNYF,ATT-9684,,MIN001.G0000667,False,,13125201,1,0,,No,44.7504615784,-93.2862930298,,,,,,,,,,,,,,,,13125201,270370607451,270370607451010,d39f9281-2e25-4a82-9d04-5ccc2cb851ea,-93.28629302978516,44.75046157836914,"Shopping, business, or trade",0,1,0,1,,CBG Clustered,1103,59,0.1787550002336502,0.0,46.29142761230469,3.0,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",839.2951049804688,B,Final,27037,13945 Aldrich Ave S,Burnsville,DAKOTA,MN,55337-6216,55337,C025,C,13945,,Aldrich,S,Ave,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,,BCL,,,
PSA-4113PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,HLD,4113PA,2024-12-31,BRVLMNYF,ATT-9684,,MIN001.G0000667,False,,13125205,1,0,,No,44.7495498657,-93.2861862183,,,,,,,,,,,,,,,,13125205,270370607451,270370607451010,d39f9281-2e25-4a82-9d04-5ccc2cb851ea,-93.28618621826172,44.749549865722656,"Shopping, business, or trade",0,1,0,1,,CBG Clustered,1103,59,0.1787550002336502,0.0,46.29142761230469,3.0,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",995.3812255859375,B,Final,27037,14001 Aldrich Ave S,Burnsville,DAKOTA,MN,55337-4439,55337,C025,C,14001,,Aldrich,S,Ave,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,,BCL,,,
PSA-4113PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,HLD,4113PA,2024-12-31,BRVLMNYF,ATT-9684,,MIN001.G0000667,False,,13125193,1,0,,No,44.7510299683,-93.2865524292,,,,,,,,,,,,,,,,13125193,270370607451,270370607451010,d39f9281-2e25-4a82-9d04-5ccc2cb851ea,-93.28655242919922,44.75102996826172,"Shopping, business, or trade",0,1,0,1,,CBG Clustered,1103,59,0.1787550002336502,0.0,46.29142761230469,3.0,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",623.4926147460938,B,Final,27037,13915 Aldrich Ave S,Burnsville,DAKOTA,MN,55337-6216,55337,C025,C,13915,,Aldrich,S,Ave,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,,BCL,,,
PSA-4113PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,HLD,4113PA,2024-12-31,BRVLMNYF,ATT-9684,,MIN001.G0000667,False,,13125209,1,0,,No,44.7485809326,-93.2859268188,,,,,,,,,,,,,,,,13125209,270370607451,270370607451010,d39f9281-2e25-4a82-9d04-5ccc2cb851ea,-93.28592681884766,44.74858093261719,"Shopping, business, or trade",0,1,0,1,,CBG Clustered,1103,59,0.1787550002336502,0.0,46.29142761230469,3.0,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",1181.27294921875,B,Final,27037,14051 Aldrich Ave S,Burnsville,DAKOTA,MN,55337-4439,55337,C025,C,14051,,Aldrich,S,Ave,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,,BCL,,,
PSA-4113PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,HLD,4113PA,2024-12-31,BRVLMNYF,ATT-9684,,MIN001.G0000667,False,,13125207,1,0,,No,44.7490386963,-93.2860412598,,,,,,,,,,,,,,,,13125207,270370607451,270370607451010,d39f9281-2e25-4a82-9d04-5ccc2cb851ea,-93.28604125976562,44.74903869628906,"Shopping, business, or trade",0,1,0,1,,CBG Clustered,1103,59,0.1787550002336502,0.0,46.29142761230469,3.0,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",1081.2490234375,B,Final,27037,14041 Aldrich Ave S,Burnsville,DAKOTA,MN,55337-4439,55337,C025,C,14041,,Aldrich,S,Ave,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,,BCL,,,
PSA-4113PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,HLD,4113PA,2024-12-31,BRVLMNYF,ATT-9684,,MIN001.G0000667,False,,13125206,1,0,,No,44.7480316162,-93.2861404419,,,,,,,,,,,,,,,,13125206,270370607451,270370607451010,d39f9281-2e25-4a82-9d04-5ccc2cb851ea,-93.28614044189453,44.74803161621094,"Shopping, business, or trade",0,1,0,1,,CBG Clustered,1103,59,0.1787550002336502,0.0,46.29142761230469,3.0,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",1373.2559814453125,B,Final,27037,14121 Aldrich Ave S,Burnsville,DAKOTA,MN,55337-4444,55337,C025,C,14121,,Aldrich,S,Ave,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,,BCL,,,
