design_job_name,design_market,design_contractor,design_status,design_psa_cd,design_ecd,design_aop_clli,design_cm_project_tracking_number,design_associated_project,design_proj_num,design_no_build,design_no_build_reason,demand_id,demand_business,demand_residential,demand_provisioned,demand_fst,demand_point_lat,demand_point_lon,fst_id,fst_name,fst_build_status,fst_asset_id,dist_cluster_id,dist_cluster_type,dist_cluster_pfp_name,dist_cluster_olt_name,drop_cluster_id,drop_cluster_term_name,mdu_boundary_id,mdu_boundary_name,mdu_boundary_coil_ids,mdu_boundary_coil_notes,mdu_boundary_coil_structures,id,cbg,blockcode,ll_uuid,a_lon,a_lat,bain_use,private_access_b,commercial_b,building_b,build_cluster_b,clstrid,derived,cost_customer_location,cable_ft_hh,irr_cbg,irr_cb,f1_penetrationwithindex,lumi_archetype_cbg,lumi_archetype_cb,pct_fttp,mdu_subsid,old_build_,market,distance_to_build_sfu,att_segment,build_map_status,a_geoid,a_address,a_scity,a_county,a_state2,a_szip,a_szip5,a_carte,a_crtype,a_saddno,a_saddpref,a_saddstr,a_saddstsuf,a_saddsttyp,a_default_match,a_geocodetype,glid,gis_streetnr,gis_streetprefix,gis_streetname,gis_streettype,gis_streetsuffix,gis_postcode,gis_city,gis_stateorprovince,gis_country,gis_latitude,gis_longitude,gis_matchcode,gis_locationcode,gis_streetdirection,deleted,iqg_updated_fields,unit,sn_asset_id,no_build_reason,fiber_jack,jack_loc,inv_status,build_status,gc_classification,gis_unit_type,gis_unit_value,gis_postalcodeplus4
PSA-1506PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1506PA,6/30/2025,BRVLMNYF,ATT-9703,,MIN001.G0000686,FALSE,,13177566,0,1,,No,44.7533493,-93.18279266,,,,,5422,64,S 5999 139TH ST W PFP,BRVLMNYF,,,25242,100' LOOP RESERVED FOR MDU COMPLEX,241042,"PON5999139SW, 109-156",100' LOOP RESERVED FOR MDU COMPLEX,13177566,2.70371E+11,2.70371E+14,d239a6f4-f306-4808-bd4d-022913126fb8,-93.18279266,44.7533493,Res-SFU,0,0,0,1,,CBG Clustered,1294,70,0.153963,0,45.68437576,2.118421078,2,0.083443999,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,13563 Everton Ave,Saint Paul,DAKOTA,MN,55124-8126,55124,R006,R,13563,,Everton,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-1506PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1506PA,6/30/2025,BRVLMNYF,ATT-9703,,MIN001.G0000686,FALSE,,13177511,0,1,,No,44.75329971,-93.18242645,,,,,5422,64,S 5999 139TH ST W PFP,BRVLMNYF,,,25242,100' LOOP RESERVED FOR MDU COMPLEX,241042,"PON5999139SW, 109-156",100' LOOP RESERVED FOR MDU COMPLEX,13177511,2.70371E+11,2.70371E+14,7deb9ca5-8da5-4fd4-beb0-cf03a9563193,-93.18242645,44.75329971,Res-SFU,0,0,0,1,,CBG Clustered,1294,70,0.153963,0,45.68437576,2.118421078,2,0.083443999,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,13555 Everton Ave,Saint Paul,DAKOTA,MN,55124-8126,55124,R006,R,13555,,Everton,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-1506PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1506PA,6/30/2025,BRVLMNYF,ATT-9703,,MIN001.G0000686,FALSE,,13177490,1,0,,No,44.75045013,-93.18583679,,,,,5422,64,S 5999 139TH ST W PFP,BRVLMNYF,,,25239,F 5995 134TH ST CT,"241,076,241,075","BCL ONLY  PON5999139SW, 481-492,BCL ONLY  PON5999139SW, 481-492","F 5995 134TH ST CT HH,F 5995 134TH ST CT HH",13177490,2.70371E+11,2.70371E+14,63b09f03-e310-40bc-a3e8-6b3d8e4692dc,-93.18583679,44.75045013,Other,0,0,0,1,,CBG Clustered,1294,70,0.153963,0,45.68437576,2.118421078,2,0.083443999,,,"Minneapolis-St. Paul-Bloomington, MN-WI",218.4768982,A,Final,27037,5990 134th Street Ct,Saint Paul,DAKOTA,MN,55124-6463,55124,R006,R,5990,,134th Street,,Ct,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-1506PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1506PA,6/30/2025,BRVLMNYF,ATT-9703,,MIN001.G0000686,FALSE,,13177572,0,1,,No,44.7526207,-93.18177032,,,,,5422,64,S 5999 139TH ST W PFP,BRVLMNYF,,,25242,100' LOOP RESERVED FOR MDU COMPLEX,241042,"PON5999139SW, 109-156",100' LOOP RESERVED FOR MDU COMPLEX,13177572,2.70371E+11,2.70371E+14,d9d07cb6-b6e2-47dc-9ce4-374984f6c233,-93.18177032,44.7526207,Res-SFU,0,0,0,1,,CBG Clustered,1294,70,0.153963,0,45.68437576,2.118421078,2,0.083443999,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,13606 Everton Ave,Saint Paul,DAKOTA,MN,55124-8074,55124,R006,R,13606,,Everton,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-1506PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1506PA,6/30/2025,BRVLMNYF,ATT-9703,,MIN001.G0000686,FALSE,,13177495,0,1,,No,44.75214005,-93.18179321,,,,,5422,64,S 5999 139TH ST W PFP,BRVLMNYF,,,25242,100' LOOP RESERVED FOR MDU COMPLEX,241042,"PON5999139SW, 109-156",100' LOOP RESERVED FOR MDU COMPLEX,13177495,2.70371E+11,2.70371E+14,6b16ff99-0368-407c-b818-eb7f305d9a0f,-93.18179321,44.75214005,Res-SFU,0,0,0,1,,CBG Clustered,1294,70,0.153963,0,45.68437576,2.118421078,2,0.083443999,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,13616 Everton Ave,Saint Paul,DAKOTA,MN,55124-8074,55124,R006,R,13616,,Everton,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-1506PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1506PA,6/30/2025,BRVLMNYF,ATT-9703,,MIN001.G0000686,FALSE,,13177489,0,1,,No,44.75236893,-93.18299866,,,,,5422,64,S 5999 139TH ST W PFP,BRVLMNYF,,,25242,100' LOOP RESERVED FOR MDU COMPLEX,241042,"PON5999139SW, 109-156",100' LOOP RESERVED FOR MDU COMPLEX,13177489,2.70371E+11,2.70371E+14,5fbd5674-1fb8-45c5-ab57-eb2f97849c38,-93.18299866,44.75236893,Res-SFU,0,0,0,1,,CBG Clustered,1294,70,0.153963,0,45.68437576,2.118421078,2,0.083443999,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,13647 Everton Ave,Saint Paul,DAKOTA,MN,55124-8075,55124,R006,R,13647,,Everton,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-1506PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1506PA,6/30/2025,BRVLMNYF,ATT-9703,,MIN001.G0000686,FALSE,,13177533,0,1,,No,44.75226974,-93.18212128,,,,,5422,64,S 5999 139TH ST W PFP,BRVLMNYF,,,25242,100' LOOP RESERVED FOR MDU COMPLEX,241042,"PON5999139SW, 109-156",100' LOOP RESERVED FOR MDU COMPLEX,13177533,2.70371E+11,2.70371E+14,a0a892f2-aaaa-42a4-8280-7c92167724dc,-93.18212128,44.75226974,Res-SFU,0,0,0,1,,CBG Clustered,1294,70,0.153963,0,45.68437576,2.118421078,2,0.083443999,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,13624 Everton Ave,Saint Paul,DAKOTA,MN,55124-8081,55124,R006,R,13624,,Everton,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-1506PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1506PA,6/30/2025,BRVLMNYF,ATT-9703,,MIN001.G0000686,FALSE,,13177444,0,1,,No,44.75242996,-93.18296051,,,,,5422,64,S 5999 139TH ST W PFP,BRVLMNYF,,,25242,100' LOOP RESERVED FOR MDU COMPLEX,241042,"PON5999139SW, 109-156",100' LOOP RESERVED FOR MDU COMPLEX,13177444,2.70371E+11,2.70371E+14,0dfdd176-a882-4e1e-9fe8-ae87ebf11076,-93.18296051,44.75242996,Res-SFU,0,0,0,1,,CBG Clustered,1294,70,0.153963,0,45.68437576,2.118421078,2,0.083443999,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,13645 Everton Ave,Saint Paul,DAKOTA,MN,55124-8075,55124,R006,R,13645,,Everton,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-1506PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1506PA,6/30/2025,BRVLMNYF,ATT-9703,,MIN001.G0000686,FALSE,,13177441,0,1,,No,44.75379944,-93.18280029,,,,,5422,64,S 5999 139TH ST W PFP,BRVLMNYF,,,25242,100' LOOP RESERVED FOR MDU COMPLEX,241042,"PON5999139SW, 109-156",100' LOOP RESERVED FOR MDU COMPLEX,13177441,2.70371E+11,2.70371E+14,092701f1-c812-45b9-a88a-619ea432fd5c,-93.18280029,44.75379944,Res-SFU,0,0,0,1,,CBG Clustered,1294,70,0.153963,0,45.68437576,2.118421078,2,0.083443999,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,13505 Eveleth Way,Saint Paul,DAKOTA,MN,55124-5706,55124,R006,R,13505,,Eveleth,,Way,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-1506PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,1506PA,6/30/2025,BRVLMNYF,ATT-9703,,MIN001.G0000686,FALSE,,13177448,0,1,,No,44.75233841,-93.18228912,,,,,5422,64,S 5999 139TH ST W PFP,BRVLMNYF,,,25242,100' LOOP RESERVED FOR MDU COMPLEX,241042,"PON5999139SW, 109-156",100' LOOP RESERVED FOR MDU COMPLEX,13177448,2.70371E+11,2.70371E+14,18a101d6-f988-473e-8bfe-8d8e590bada9,-93.18228912,44.75233841,Res-SFU,0,0,0,1,,CBG Clustered,1294,70,0.153963,0,45.68437576,2.118421078,2,0.083443999,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,13628 Everton Ave,Saint Paul,DAKOTA,MN,55124-8081,55124,R006,R,13628,,Everton,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
