design_job_name,design_market,design_contractor,design_status,design_psa_cd,design_ecd,design_aop_clli,design_cm_project_tracking_number,design_associated_project,design_proj_num,design_no_build,design_no_build_reason,demand_id,demand_business,demand_residential,demand_provisioned,demand_fst,demand_point_lat,demand_point_lon,fst_id,fst_name,fst_build_status,fst_asset_id,dist_cluster_id,dist_cluster_type,dist_cluster_pfp_name,dist_cluster_olt_name,drop_cluster_id,drop_cluster_term_name,mdu_boundary_id,mdu_boundary_name,mdu_boundary_coil_ids,mdu_boundary_coil_notes,mdu_boundary_coil_structures,id,cbg,blockcode,ll_uuid,a_lon,a_lat,bain_use,private_access_b,commercial_b,building_b,build_cluster_b,clstrid,derived,cost_customer_location,cable_ft_hh,irr_cbg,irr_cb,f1_penetrationwithindex,lumi_archetype_cbg,lumi_archetype_cb,pct_fttp,mdu_subsid,old_build_,market,distance_to_build_sfu,att_segment,build_map_status,a_geoid,a_address,a_scity,a_county,a_state2,a_szip,a_szip5,a_carte,a_crtype,a_saddno,a_saddpref,a_saddstr,a_saddstsuf,a_saddsttyp,a_default_match,a_geocodetype,glid,gis_streetnr,gis_streetprefix,gis_streetname,gis_streettype,gis_streetsuffix,gis_postcode,gis_city,gis_stateorprovince,gis_country,gis_latitude,gis_longitude,gis_matchcode,gis_locationcode,gis_streetdirection,deleted,iqg_updated_fields,unit,sn_asset_id,no_build_reason,fiber_jack,jack_loc,inv_status,build_status,gc_classification,gis_unit_type,gis_unit_value,gis_postalcodeplus4
PSA-3105PA-SHKPMNOS-CHARLIE,Minneapolis,ITG,LLD,3105PA,12/31/2025,SHKPMNOS,ATT-9855,,MIN001.G0000800,FALSE,,IQGEO_67457,1,0,FALSE,No,44.74476137,-93.44128506,,,,,5556,64,F 3221 WILDS RIDGE PFP,SHKPMNOS,,,26460,"100' LOOP PON3221WR, 97-108 RESERVED","255,262,255,263","BCL ONLY, PON3221WR, 97-108,BCL ONLY, PON3221WR, 97-108","100' LOOP PON3221WR, 97-108 RESERVED,100' LOOP PON3221WR, 97-108 RESERVED",IQGEO_67457,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880 Fountain Hills Rd,Prior Lake,SCOTT,MN,55372-2833,55372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned,BCL,,,
PSA-3105PA-SHKPMNOS-CHARLIE,Minneapolis,ITG,LLD,3105PA,12/31/2025,SHKPMNOS,ATT-9855,,MIN001.G0000800,FALSE,,IQGEO_67458,1,0,FALSE,No,44.74518428,-93.44097929,,,,,5556,64,F 3221 WILDS RIDGE PFP,SHKPMNOS,,,26460,"100' LOOP PON3221WR, 97-108 RESERVED","255,262,255,263","BCL ONLY, PON3221WR, 97-108,BCL ONLY, PON3221WR, 97-108","100' LOOP PON3221WR, 97-108 RESERVED,100' LOOP PON3221WR, 97-108 RESERVED",IQGEO_67458,,,,,,,,,,,,,,,,,,,,,,,,,,,,3884 Fountain Hills Rd,Prior Lake,SCOTT,MN,55372-2833,55372,,,,,,,,,,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,BCL,,,
PSA-3105PA-SHKPMNOS-CHARLIE,Minneapolis,ITG,LLD,3105PA,12/31/2025,SHKPMNOS,ATT-9855,,MIN001.G0000800,FALSE,,IQGEO_67456,1,0,FALSE,No,44.74316873,-93.44057696,,,,,5556,64,F 3221 WILDS RIDGE PFP,SHKPMNOS,,,26460,"100' LOOP PON3221WR, 97-108 RESERVED","255,262,255,263","BCL ONLY, PON3221WR, 97-108,BCL ONLY, PON3221WR, 97-108","100' LOOP PON3221WR, 97-108 RESERVED,100' LOOP PON3221WR, 97-108 RESERVED",IQGEO_67456,,,,,,,,,,,,,,,,,,,,,,,,,,,,3906 Station Pl NW,Prior Lake,SCOTT,MN,55372,55372,,,,,,,,,,,,,,,,,,,,,,,,,,a_county,,,,,,,Planned,BCL,,,
PSA-3105PA-SHKPMNOS-CHARLIE,Minneapolis,ITG,LLD,3105PA,12/31/2025,SHKPMNOS,ATT-9855,,MIN001.G0000800,FALSE,,14170228,0,1,FALSE,Yes,44.74381321,-93.43702719,203641,F 14091 EAGLE CREEK,,,5556,64,F 3221 WILDS RIDGE PFP,SHKPMNOS,161958,F 14091 EAGLE CREEK,,,,,,14170228,2.71391E+11,2.71391E+14,d224911a-bf78-478f-b463-4c8ac75c3c24,-93.43256378,44.74052048,Res-SFU,0,0,0,0,,No C2P,0,0,0,0,36.3450737,5.092560768,4,0.192729995,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,C,Final,27139,14091 Eagle Creek Ave NE,Prior Lake,SCOTT,MN,55372-3210,55372,R014,R,14091,,Eagle Creek,NE,Ave,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-3105PA-SHKPMNOS-CHARLIE,Minneapolis,ITG,LLD,3105PA,12/31/2025,SHKPMNOS,ATT-9855,,MIN001.G0000800,FALSE,,14163416,0,1,FALSE,Yes,44.74237823,-93.44200134,203651,F 14310 ENCLAVE CT,,,5556,64,F 3221 WILDS RIDGE PFP,SHKPMNOS,161967,F 14310 ENCLAVE CT,,,,,,14163416,2.71391E+11,2.71391E+14,9bbf454f-8ee4-41e3-8fd7-e484b42f9359,-93.44200134,44.74237823,Res-SFU,0,0,0,1,,CBG Clustered,85,3,0.528805971,0,43.5739975,4.925681591,6,0.000819,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27139,14304 Enclave Ct NW,Prior Lake,SCOTT,MN,55372-1342,55372,R008,R,14304,,Enclave,NW,Ct,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-3105PA-SHKPMNOS-CHARLIE,Minneapolis,ITG,LLD,3105PA,12/31/2025,SHKPMNOS,ATT-9855,,MIN001.G0000800,FALSE,,14163240,0,1,FALSE,Yes,44.74222946,-93.44200897,203651,F 14310 ENCLAVE CT,,,5556,64,F 3221 WILDS RIDGE PFP,SHKPMNOS,161967,F 14310 ENCLAVE CT,,,,,,14163240,2.71391E+11,2.71391E+14,154fbec9-ac9d-44f1-bc6e-f976bbec6976,-93.44200897,44.74222946,Res-SFU,0,0,0,1,,CBG Clustered,85,3,0.528805971,0,43.5739975,4.925681591,6,0.000819,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27139,14310 Enclave Ct NW,Prior Lake,SCOTT,MN,55372-1342,55372,R008,R,14310,,Enclave,NW,Ct,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-3105PA-SHKPMNOS-CHARLIE,Minneapolis,ITG,LLD,3105PA,12/31/2025,SHKPMNOS,ATT-9855,,MIN001.G0000800,FALSE,,14163466,0,1,FALSE,Yes,44.7426796,-93.44194031,203651,F 14310 ENCLAVE CT,,,5556,64,F 3221 WILDS RIDGE PFP,SHKPMNOS,161967,F 14310 ENCLAVE CT,,,,,,14163466,2.71391E+11,2.71391E+14,c415822f-1f26-4071-bb18-41c8e9db2988,-93.44194031,44.7426796,Res-SFU,0,0,0,1,,CBG Clustered,85,3,0.528805971,0,43.5739975,4.925681591,6,0.000819,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27139,14280 Enclave Ct NW,Prior Lake,SCOTT,MN,55372-1341,55372,R008,R,14280,,Enclave,NW,Ct,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-3105PA-SHKPMNOS-CHARLIE,Minneapolis,ITG,LLD,3105PA,12/31/2025,SHKPMNOS,ATT-9855,,MIN001.G0000800,FALSE,,14163350,0,1,FALSE,Yes,44.74449921,-93.44730377,203574,F 3620 COVE POINT CIR,,,5556,64,F 3221 WILDS RIDGE PFP,SHKPMNOS,161889,F 3620 COVE POINT CIR,,,,,,14163350,2.71391E+11,2.71391E+14,6baa2c99-9254-4f94-a4ee-1b478b6841e7,-93.44730377,44.74449921,Res-SFU,0,0,0,1,,CBG Clustered,85,3,0.528805971,0,43.5739975,4.925681591,6,0.000819,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27139,3613 Cove Point Cir NW,Prior Lake,SCOTT,MN,55372-1522,55372,R008,R,3613,,Cove Point,NW,Cir,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-3105PA-SHKPMNOS-CHARLIE,Minneapolis,ITG,LLD,3105PA,12/31/2025,SHKPMNOS,ATT-9855,,MIN001.G0000800,FALSE,,14163337,0,1,FALSE,Yes,44.74253082,-93.44197083,203651,F 14310 ENCLAVE CT,,,5556,64,F 3221 WILDS RIDGE PFP,SHKPMNOS,161967,F 14310 ENCLAVE CT,,,,,,14163337,2.71391E+11,2.71391E+14,646696f8-5c78-4be6-b44e-a846fc1dff78,-93.44197083,44.74253082,Res-SFU,0,0,0,1,,CBG Clustered,85,3,0.528805971,0,43.5739975,4.925681591,6,0.000819,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27139,14292 Enclave Ct NW,Prior Lake,SCOTT,MN,55372-1341,55372,R008,R,14292,,Enclave,NW,Ct,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-3105PA-SHKPMNOS-CHARLIE,Minneapolis,ITG,LLD,3105PA,12/31/2025,SHKPMNOS,ATT-9855,,MIN001.G0000800,FALSE,,14163537,0,1,FALSE,Yes,44.74422073,-93.44651794,203574,F 3620 COVE POINT CIR,,,5556,64,F 3221 WILDS RIDGE PFP,SHKPMNOS,161889,F 3620 COVE POINT CIR,,,,,,14163537,2.71391E+11,2.71391E+14,f9222445-2b38-4d20-a326-4bd974b99cb5,-93.44651794,44.74422073,Res-SFU,0,0,0,1,,CBG Clustered,85,3,0.528805971,0,43.5739975,4.925681591,6,0.000819,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27139,3630 Cove Point Cir NW,Prior Lake,SCOTT,MN,55372-1520,55372,R008,R,3630,,Cove Point,NW,Cir,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
